#           k/h    P           
   0.131631E-01   0.262419E+05
   0.134290E-01   0.262878E+05
   0.137003E-01   0.263236E+05
   0.139770E-01   0.263482E+05
   0.142594E-01   0.263609E+05
   0.145474E-01   0.263611E+05
   0.148413E-01   0.263509E+05
   0.151411E-01   0.263326E+05
   0.154470E-01   0.263086E+05
   0.157590E-01   0.262813E+05
   0.160774E-01   0.262518E+05
   0.164022E-01   0.262168E+05
   0.167335E-01   0.261721E+05
   0.170716E-01   0.261136E+05
   0.174164E-01   0.260371E+05
   0.177683E-01   0.259401E+05
   0.181272E-01   0.258245E+05
   0.184934E-01   0.256931E+05
   0.188670E-01   0.255486E+05
   0.192481E-01   0.253940E+05
   0.196370E-01   0.252305E+05
   0.200337E-01   0.250563E+05
   0.204384E-01   0.248687E+05
   0.208513E-01   0.246653E+05
   0.212725E-01   0.244437E+05
   0.217022E-01   0.242030E+05
   0.221406E-01   0.239459E+05
   0.225879E-01   0.236753E+05
   0.230442E-01   0.233944E+05
   0.235097E-01   0.231060E+05
   0.239847E-01   0.228122E+05
   0.244692E-01   0.225134E+05
   0.249635E-01   0.222095E+05
   0.254678E-01   0.219005E+05
   0.259823E-01   0.215866E+05
   0.265072E-01   0.212674E+05
   0.270426E-01   0.209417E+05
   0.275889E-01   0.206082E+05
   0.281463E-01   0.202657E+05
   0.287149E-01   0.199133E+05
   0.292949E-01   0.195512E+05
   0.298867E-01   0.191817E+05
   0.304905E-01   0.188076E+05
   0.311064E-01   0.184314E+05
   0.317348E-01   0.180554E+05
   0.323759E-01   0.176813E+05
   0.330299E-01   0.173095E+05
   0.336972E-01   0.169402E+05
   0.343779E-01   0.165739E+05
   0.350724E-01   0.162106E+05
   0.357809E-01   0.158510E+05
   0.365038E-01   0.154962E+05
   0.372412E-01   0.151475E+05
   0.379935E-01   0.148058E+05
   0.387610E-01   0.144723E+05
   0.395440E-01   0.141475E+05
   0.403429E-01   0.138320E+05
   0.411579E-01   0.135261E+05
   0.419893E-01   0.132301E+05
   0.428375E-01   0.129442E+05
   0.437029E-01   0.126689E+05
   0.445858E-01   0.124052E+05
   0.454865E-01   0.121538E+05
   0.464053E-01   0.119154E+05
   0.473428E-01   0.116908E+05
   0.482992E-01   0.114794E+05
   0.492749E-01   0.112799E+05
   0.502703E-01   0.110911E+05
   0.512858E-01   0.109116E+05
   0.523219E-01   0.107405E+05
   0.533789E-01   0.105764E+05
   0.544572E-01   0.104185E+05
   0.555573E-01   0.102656E+05
   0.566796E-01   0.101169E+05
   0.578246E-01   0.997146E+04
   0.589927E-01   0.982831E+04
   0.601845E-01   0.968667E+04
   0.614003E-01   0.954508E+04
   0.626407E-01   0.940149E+04
   0.639061E-01   0.925397E+04
   0.651971E-01   0.910115E+04
   0.665142E-01   0.894352E+04
   0.678578E-01   0.878200E+04
   0.692287E-01   0.861692E+04
   0.706272E-01   0.844461E+04
   0.720539E-01   0.825987E+04
   0.735095E-01   0.805864E+04
   0.749945E-01   0.784224E+04
   0.765095E-01   0.761446E+04
   0.780551E-01   0.737865E+04
   0.796319E-01   0.713651E+04
   0.812406E-01   0.688923E+04
   0.828817E-01   0.663843E+04
   0.845561E-01   0.638662E+04
   0.862642E-01   0.613621E+04
   0.880068E-01   0.588955E+04
   0.897847E-01   0.564879E+04
   0.915985E-01   0.541618E+04
   0.934489E-01   0.519448E+04
   0.953367E-01   0.498607E+04
   0.972626E-01   0.479289E+04
   0.992274E-01   0.461643E+04
   0.101232E+00   0.445786E+04
   0.103277E+00   0.431807E+04
   0.105363E+00   0.419628E+04
   0.107492E+00   0.409050E+04
   0.109663E+00   0.399895E+04
   0.111879E+00   0.391895E+04
   0.114139E+00   0.384723E+04
   0.116445E+00   0.378072E+04
   0.118797E+00   0.371651E+04
   0.121197E+00   0.365185E+04
   0.123645E+00   0.358409E+04
   0.126143E+00   0.351054E+04
   0.128691E+00   0.342876E+04
   0.131291E+00   0.333696E+04
   0.133943E+00   0.323408E+04
   0.136649E+00   0.312003E+04
   0.139409E+00   0.299695E+04
   0.142226E+00   0.286745E+04
   0.145099E+00   0.273532E+04
   0.148030E+00   0.260450E+04
   0.151020E+00   0.247843E+04
   0.154071E+00   0.236006E+04
   0.157184E+00   0.225171E+04
   0.160359E+00   0.215518E+04
   0.163598E+00   0.207150E+04
   0.166903E+00   0.200096E+04
   0.170275E+00   0.194259E+04
   0.173715E+00   0.189418E+04
   0.177224E+00   0.185259E+04
   0.180804E+00   0.181408E+04
   0.184457E+00   0.177510E+04
   0.188183E+00   0.173246E+04
   0.191985E+00   0.168385E+04
   0.195863E+00   0.162809E+04
   0.199820E+00   0.156538E+04
   0.203856E+00   0.149749E+04
   0.207974E+00   0.142713E+04
   0.212176E+00   0.135739E+04
   0.216462E+00   0.129112E+04
   0.220835E+00   0.123073E+04
   0.225296E+00   0.117803E+04
   0.229847E+00   0.113356E+04
   0.234490E+00   0.109642E+04
   0.239227E+00   0.106442E+04
   0.244060E+00   0.103512E+04
   0.248990E+00   0.100618E+04
   0.254020E+00   0.975504E+03
   0.259152E+00   0.941430E+03
   0.264387E+00   0.903706E+03
   0.269728E+00   0.863707E+03
   0.275177E+00   0.823505E+03
   0.280736E+00   0.785041E+03
   0.286407E+00   0.749880E+03
   0.292193E+00   0.718999E+03
   0.298096E+00   0.692260E+03
   0.304118E+00   0.668541E+03
   0.310261E+00   0.646377E+03
   0.316529E+00   0.624254E+03
   0.322923E+00   0.601044E+03
   0.329447E+00   0.576585E+03
   0.336102E+00   0.551482E+03
   0.342892E+00   0.526708E+03
   0.349819E+00   0.503454E+03
   0.356885E+00   0.482424E+03
   0.364095E+00   0.463444E+03
   0.371450E+00   0.445980E+03
   0.378954E+00   0.429252E+03
   0.386609E+00   0.412484E+03
   0.394419E+00   0.395482E+03
   0.402387E+00   0.378474E+03
   0.410516E+00   0.361954E+03
   0.418809E+00   0.346449E+03
   0.427269E+00   0.332097E+03
   0.435901E+00   0.318719E+03
   0.444706E+00   0.305980E+03
   0.453690E+00   0.293628E+03
   0.462855E+00   0.281642E+03
   0.472206E+00   0.270026E+03
   0.481745E+00   0.258784E+03
   0.491477E+00   0.247916E+03
   0.501405E+00   0.237422E+03
   0.511534E+00   0.227301E+03
   0.521868E+00   0.217549E+03
   0.532411E+00   0.208164E+03
   0.543166E+00   0.199139E+03
   0.554139E+00   0.190469E+03
   0.565333E+00   0.182148E+03
   0.576753E+00   0.174168E+03
   0.588404E+00   0.166521E+03
   0.600291E+00   0.159200E+03
   0.612418E+00   0.152195E+03
   0.624789E+00   0.145498E+03
   0.637411E+00   0.139097E+03
   0.650288E+00   0.132976E+03
   0.663424E+00   0.127123E+03
   0.676826E+00   0.121525E+03
   0.690499E+00   0.116171E+03
   0.704448E+00   0.111049E+03
   0.718679E+00   0.106148E+03
   0.733197E+00   0.101458E+03
   0.748009E+00   0.969700E+02
   0.763119E+00   0.926746E+02
   0.778536E+00   0.885630E+02
   0.794263E+00   0.846272E+02
   0.810308E+00   0.808591E+02
   0.826677E+00   0.772515E+02
   0.843378E+00   0.737974E+02
   0.860415E+00   0.704899E+02
   0.877797E+00   0.673229E+02
   0.895529E+00   0.642908E+02
   0.913620E+00   0.613884E+02
   0.932076E+00   0.586108E+02
   0.950906E+00   0.559530E+02
   0.970115E+00   0.534104E+02
   0.989713E+00   0.509783E+02
   0.100971E+01   0.486524E+02
   0.103010E+01   0.464284E+02
   0.105091E+01   0.443021E+02
   0.107214E+01   0.422697E+02
   0.109380E+01   0.403272E+02
   0.111590E+01   0.384710E+02
   0.113844E+01   0.366976E+02
   0.116144E+01   0.350033E+02
   0.118490E+01   0.333851E+02
   0.120884E+01   0.318396E+02
   0.123326E+01   0.303637E+02
   0.125817E+01   0.289545E+02
   0.128359E+01   0.276088E+02
   0.130952E+01   0.263239E+02
   0.133597E+01   0.250972E+02
   0.136296E+01   0.239260E+02
   0.139049E+01   0.228078E+02
   0.141858E+01   0.217404E+02
   0.144724E+01   0.207215E+02
   0.147648E+01   0.197489E+02
   0.150630E+01   0.188205E+02
   0.153673E+01   0.179344E+02
   0.156778E+01   0.170888E+02
   0.159945E+01   0.162818E+02
   0.163176E+01   0.155116E+02
   0.166472E+01   0.147767E+02
   0.169835E+01   0.140755E+02
   0.173266E+01   0.134066E+02
   0.176766E+01   0.127685E+02
   0.180337E+01   0.121599E+02
   0.183980E+01   0.115796E+02
   0.187697E+01   0.110264E+02
   0.191489E+01   0.104990E+02
   0.195357E+01   0.999634E+01
   0.199304E+01   0.951735E+01
   0.203330E+01   0.906096E+01
   0.207437E+01   0.862615E+01
   0.211628E+01   0.821198E+01
   0.215903E+01   0.781749E+01
   0.220265E+01   0.744182E+01
   0.224714E+01   0.708409E+01
   0.229254E+01   0.674349E+01
   0.233885E+01   0.641924E+01
