#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.194493E-03   0.202846E+08   0.202844E+08   0.221087E+08   0.219698E+08   0.202712E+08   0.202845E+08   0.202846E+08   0.202904E+08  -0.458232E+00   0.992447E+07   0.992440E+07   0.118112E+03
   0.214755E-03   0.202824E+08   0.202821E+08   0.211415E+08   0.209778E+08   0.202655E+08   0.202822E+08   0.202823E+08   0.202879E+08  -0.458169E+00   0.992334E+07   0.992325E+07   0.128951E+03
   0.237129E-03   0.202796E+08   0.202793E+08   0.200152E+08   0.198240E+08   0.202585E+08   0.202795E+08   0.202796E+08   0.202848E+08  -0.458093E+00   0.992196E+07   0.992186E+07   0.140447E+03
   0.261834E-03   0.202763E+08   0.202759E+08   0.187173E+08   0.184960E+08   0.202500E+08   0.202761E+08   0.202762E+08   0.202811E+08  -0.458001E+00   0.992029E+07   0.992017E+07   0.152527E+03
   0.289112E-03   0.202723E+08   0.202718E+08   0.172408E+08   0.169878E+08   0.202398E+08   0.202720E+08   0.202722E+08   0.202766E+08  -0.457891E+00   0.991828E+07   0.991813E+07   0.165072E+03
   0.319233E-03   0.202674E+08   0.202668E+08   0.155880E+08   0.153028E+08   0.202273E+08   0.202671E+08   0.202673E+08   0.202713E+08  -0.457759E+00   0.991584E+07   0.991567E+07   0.177912E+03
   0.352491E-03   0.202616E+08   0.202608E+08   0.137743E+08   0.134587E+08   0.202122E+08   0.202612E+08   0.202615E+08   0.202649E+08  -0.457602E+00   0.991290E+07   0.991270E+07   0.190808E+03
   0.389215E-03   0.202545E+08   0.202536E+08   0.118334E+08   0.114921E+08   0.201940E+08   0.202541E+08   0.202544E+08   0.202572E+08  -0.457415E+00   0.990936E+07   0.990913E+07   0.203451E+03
   0.429764E-03   0.202461E+08   0.202450E+08   0.982120E+07   0.946242E+07   0.201719E+08   0.202456E+08   0.202459E+08   0.202481E+08  -0.457193E+00   0.990512E+07   0.990484E+07   0.215455E+03
   0.474538E-03   0.202360E+08   0.202347E+08   0.781763E+07   0.745387E+07   0.201453E+08   0.202353E+08   0.202358E+08   0.202374E+08  -0.456933E+00   0.990004E+07   0.989972E+07   0.226362E+03
   0.523976E-03   0.202239E+08   0.202224E+08   0.592400E+07   0.557186E+07   0.201133E+08   0.202231E+08   0.202236E+08   0.202247E+08  -0.456627E+00   0.989398E+07   0.989362E+07   0.235660E+03
   0.578566E-03   0.202095E+08   0.202078E+08   0.425250E+07   0.393143E+07   0.200748E+08   0.202086E+08   0.202093E+08   0.202097E+08  -0.456270E+00   0.988679E+07   0.988637E+07   0.242819E+03
   0.638842E-03   0.201926E+08   0.201905E+08   0.290581E+07   0.263534E+07   0.200286E+08   0.201914E+08   0.201922E+08   0.201922E+08  -0.455855E+00   0.987827E+07   0.987780E+07   0.247339E+03
   0.705398E-03   0.201725E+08   0.201702E+08   0.194775E+07   0.174302E+07   0.199735E+08   0.201712E+08   0.201721E+08   0.201717E+08  -0.455374E+00   0.986824E+07   0.986771E+07   0.248818E+03
   0.778888E-03   0.201489E+08   0.201463E+08   0.137244E+07   0.123882E+07   0.199078E+08   0.201474E+08   0.201485E+08   0.201477E+08  -0.454817E+00   0.985646E+07   0.985589E+07   0.247012E+03
   0.860035E-03   0.201214E+08   0.201184E+08   0.108855E+07   0.101749E+07   0.198298E+08   0.201195E+08   0.201209E+08   0.201198E+08  -0.454174E+00   0.984271E+07   0.984209E+07   0.241887E+03
   0.949635E-03   0.200892E+08   0.200860E+08   0.940481E+06   0.909619E+06   0.197376E+08   0.200870E+08   0.200887E+08   0.200873E+08  -0.453431E+00   0.982671E+07   0.982604E+07   0.233615E+03
   0.104857E-02   0.200518E+08   0.200483E+08   0.777405E+06   0.757663E+06   0.196289E+08   0.200493E+08   0.200513E+08   0.200495E+08  -0.452571E+00   0.980816E+07   0.980746E+07   0.222528E+03
   0.115781E-02   0.200085E+08   0.200048E+08   0.543357E+06   0.511665E+06   0.195015E+08   0.200055E+08   0.200079E+08   0.200057E+08  -0.451578E+00   0.978670E+07   0.978598E+07   0.209047E+03
   0.127844E-02   0.199585E+08   0.199546E+08   0.311805E+06   0.261975E+06   0.193531E+08   0.199550E+08   0.199579E+08   0.199551E+08  -0.450432E+00   0.976195E+07   0.976121E+07   0.193648E+03
   0.141163E-02   0.199009E+08   0.198968E+08   0.193537E+06   0.135345E+06   0.191820E+08   0.198968E+08   0.199002E+08   0.198969E+08  -0.449114E+00   0.973347E+07   0.973272E+07   0.176912E+03
   0.155869E-02   0.198347E+08   0.198306E+08   0.179542E+06  -0.273346E+06   0.189860E+08   0.198300E+08   0.198340E+08   0.198300E+08  -0.447602E+00   0.970081E+07   0.970007E+07   0.159596E+03
   0.172108E-02   0.197589E+08   0.197548E+08   0.140467E+06  -0.223330E+06   0.187635E+08   0.197535E+08   0.197582E+08   0.197535E+08  -0.445873E+00   0.966342E+07   0.966268E+07   0.142597E+03
   0.190039E-02   0.196724E+08   0.196683E+08   0.472944E+05  -0.182365E+06   0.185132E+08   0.196662E+08   0.196717E+08   0.196662E+08  -0.443901E+00   0.962075E+07   0.962003E+07   0.126739E+03
   0.209838E-02   0.195740E+08   0.195698E+08   0.198144E+05  -0.148823E+06   0.182344E+08   0.195669E+08   0.195733E+08   0.195669E+08  -0.441658E+00   0.957224E+07   0.957153E+07   0.112611E+03
   0.231699E-02   0.194624E+08   0.194582E+08   0.358189E+05  -0.121366E+06   0.179266E+08   0.194544E+08   0.194617E+08   0.194544E+08  -0.439116E+00   0.951725E+07   0.951655E+07   0.100547E+03
   0.255838E-02   0.193363E+08   0.193320E+08   0.859129E+03  -0.988987E+05   0.175899E+08   0.193273E+08   0.193356E+08   0.193273E+08  -0.436246E+00   0.945516E+07   0.945447E+07   0.905211E+02
   0.282492E-02   0.191944E+08   0.191899E+08   0.170108E+04  -0.805217E+05   0.172243E+08   0.191843E+08   0.191936E+08   0.191843E+08  -0.433018E+00   0.938533E+07   0.938463E+07   0.820658E+02
   0.311923E-02   0.190354E+08   0.190307E+08  -0.623531E+04  -0.654976E+05   0.168293E+08   0.190241E+08   0.190346E+08   0.190241E+08  -0.429402E+00   0.930710E+07   0.930640E+07   0.745433E+02
   0.344419E-02   0.188579E+08   0.188529E+08  -0.105956E+05  -0.532215E+05   0.164043E+08   0.188454E+08   0.188570E+08   0.188454E+08  -0.425368E+00   0.921982E+07   0.921912E+07   0.674276E+02
   0.380302E-02   0.186606E+08   0.186553E+08  -0.170422E+05  -0.431972E+05   0.159481E+08   0.186469E+08   0.186597E+08   0.186469E+08  -0.420886E+00   0.912284E+07   0.912215E+07   0.605935E+02
   0.419923E-02   0.184421E+08   0.184365E+08  -0.712588E+04  -0.350172E+05   0.154601E+08   0.184271E+08   0.184412E+08   0.184271E+08  -0.415924E+00   0.901550E+07   0.901482E+07   0.542905E+02
   0.463671E-02   0.182012E+08   0.181952E+08  -0.847294E+04  -0.283476E+05   0.149398E+08   0.181847E+08   0.182002E+08   0.181847E+08  -0.410454E+00   0.889715E+07   0.889647E+07   0.487819E+02
   0.511978E-02   0.179364E+08   0.179299E+08  -0.104005E+05  -0.229141E+05   0.143885E+08   0.179185E+08   0.179353E+08   0.179185E+08  -0.404445E+00   0.876713E+07   0.876645E+07   0.439882E+02
   0.565317E-02   0.176470E+08   0.176398E+08  -0.731237E+04  -0.184925E+05   0.137829E+08   0.176275E+08   0.176458E+08   0.176275E+08  -0.397876E+00   0.862500E+07   0.862433E+07   0.396140E+02
   0.624213E-02   0.173305E+08   0.173226E+08  -0.696319E+04  -0.148969E+05   0.131557E+08   0.173094E+08   0.173292E+08   0.173094E+08  -0.390696E+00   0.846965E+07   0.846898E+07   0.355681E+02
   0.689245E-02   0.169861E+08   0.169773E+08  -0.556397E+04  -0.119769E+05   0.124949E+08   0.169634E+08   0.169846E+08   0.169634E+08  -0.382885E+00   0.830062E+07   0.829996E+07   0.319840E+02
   0.761052E-02   0.166125E+08   0.166027E+08  -0.562232E+04  -0.960843E+04   0.118093E+08   0.165881E+08   0.166108E+08   0.165881E+08  -0.374415E+00   0.811729E+07   0.811663E+07   0.288133E+02
   0.840340E-02   0.162082E+08   0.161972E+08  -0.462222E+04  -0.769000E+04   0.111077E+08   0.161822E+08   0.162064E+08   0.161822E+08  -0.365254E+00   0.791901E+07   0.791836E+07   0.259357E+02
   0.927889E-02   0.157722E+08   0.157597E+08  -0.345620E+04  -0.613848E+04   0.103900E+08   0.157447E+08   0.157701E+08   0.157447E+08  -0.355377E+00   0.770521E+07   0.770456E+07   0.233800E+02
   0.102456E-01   0.153033E+08   0.152890E+08  -0.321218E+04  -0.488577E+04   0.965627E+07   0.152742E+08   0.153009E+08   0.152742E+08  -0.344757E+00   0.747530E+07   0.747465E+07   0.211026E+02
   0.113130E-01   0.148001E+08   0.147837E+08  -0.264961E+04  -0.387612E+04   0.891352E+07   0.147695E+08   0.147973E+08   0.147695E+08  -0.333366E+00   0.722867E+07   0.722802E+07   0.190726E+02
   0.124916E-01   0.142616E+08   0.142428E+08  -0.197829E+04  -0.306398E+04   0.816961E+07   0.142296E+08   0.142584E+08   0.142296E+08  -0.321180E+00   0.696478E+07   0.696413E+07   0.172684E+02
   0.137930E-01   0.136868E+08   0.136654E+08  -0.179606E+04  -0.241219E+04   0.743054E+07   0.136536E+08   0.136832E+08   0.136536E+08  -0.308180E+00   0.668324E+07   0.668259E+07   0.156626E+02
   0.152300E-01   0.130754E+08   0.130509E+08  -0.141693E+04  -0.189041E+04   0.669931E+07   0.130412E+08   0.130713E+08   0.130412E+08  -0.294356E+00   0.638380E+07   0.638315E+07   0.142290E+02
   0.168167E-01   0.124419E+08   0.124140E+08  -0.107640E+04  -0.147563E+04   0.599292E+07   0.124068E+08   0.124372E+08   0.124068E+08  -0.280036E+00   0.607359E+07   0.607294E+07   0.129540E+02
   0.185687E-01   0.117618E+08   0.117302E+08  -0.940262E+03  -0.114433E+04   0.530336E+07   0.117259E+08   0.117565E+08   0.117259E+08  -0.264669E+00   0.574064E+07   0.573998E+07   0.117915E+02
   0.205033E-01   0.110496E+08   0.110142E+08  -0.585427E+03  -0.881882E+03   0.464427E+07   0.110133E+08   0.110436E+08   0.110133E+08  -0.248585E+00   0.539210E+07   0.539145E+07   0.107250E+02
   0.226393E-01   0.102997E+08   0.102605E+08  -0.520769E+03  -0.674329E+03   0.401782E+07   0.102634E+08   0.102931E+08   0.102634E+08  -0.231657E+00   0.502524E+07   0.502458E+07   0.972341E+01
   0.249980E-01   0.953877E+07   0.949597E+07  -0.398176E+03  -0.512295E+03   0.343869E+07   0.950275E+07   0.953159E+07   0.950275E+07  -0.214489E+00   0.465309E+07   0.465244E+07   0.877013E+01
   0.276023E-01   0.877582E+07   0.872999E+07  -0.283461E+03  -0.386625E+03   0.291085E+07   0.874041E+07   0.876813E+07   0.874041E+07  -0.197282E+00   0.428007E+07   0.427942E+07   0.784216E+01
   0.304780E-01   0.801422E+07   0.796634E+07  -0.242182E+03  -0.289625E+03   0.243512E+07   0.797981E+07   0.800618E+07   0.797981E+07  -0.180114E+00   0.390784E+07   0.390721E+07   0.691444E+01
   0.336533E-01   0.727459E+07   0.722611E+07  -0.163776E+03  -0.215655E+03   0.201602E+07   0.724160E+07   0.726645E+07   0.724160E+07  -0.163452E+00   0.354654E+07   0.354593E+07   0.597733E+01
   0.371593E-01   0.658361E+07   0.653639E+07  -0.124327E+03  -0.160102E+03   0.165694E+07   0.655240E+07   0.657568E+07   0.655240E+07  -0.147896E+00   0.320918E+07   0.320862E+07   0.503328E+01
   0.410307E-01   0.595838E+07   0.591458E+07  -0.109020E+03  -0.118868E+03   0.135601E+07   0.592928E+07   0.595103E+07   0.592928E+07  -0.133831E+00   0.290415E+07   0.290364E+07   0.409635E+01
   0.451338E-01   0.543069E+07   0.539214E+07   0.625196E+02  -0.895593E+02   0.111748E+07   0.540383E+07   0.542422E+07   0.540383E+07  -0.121971E+00   0.264691E+07   0.264647E+07   0.323151E+01
   0.492368E-01   0.502007E+07   0.498763E+07   0.485511E+02  -0.695836E+02   0.939087E+06   0.499534E+07   0.501462E+07   0.499534E+07  -0.112751E+00   0.244691E+07   0.244654E+07   0.250993E+01
   0.533399E-01   0.468992E+07   0.466358E+07   0.386434E+02  -0.554066E+02   0.801457E+06   0.466711E+07   0.468550E+07   0.466711E+07  -0.105342E+00   0.228622E+07   0.228591E+07   0.193530E+01
   0.574430E-01   0.441250E+07   0.439152E+07   0.313463E+02  -0.449603E+02   0.691853E+06   0.439139E+07   0.440898E+07   0.439139E+07  -0.991191E-01   0.215121E+07   0.215096E+07   0.150371E+01
   0.615460E-01   0.416682E+07   0.414994E+07   0.257833E+02  -0.369933E+02   0.601808E+06   0.414712E+07   0.416398E+07   0.414712E+07  -0.936057E-01   0.203161E+07   0.203139E+07   0.120201E+01
   0.656491E-01   0.393434E+07   0.392008E+07   0.213939E+02  -0.307051E+02   0.525281E+06   0.391582E+07   0.393195E+07   0.391582E+07  -0.883850E-01   0.191835E+07   0.191815E+07   0.100866E+01
   0.697522E-01   0.370346E+07   0.369034E+07   0.178355E+02  -0.256057E+02   0.458555E+06   0.368591E+07   0.370125E+07   0.368591E+07  -0.831955E-01   0.180575E+07   0.180557E+07   0.897643E+00
   0.738552E-01   0.347558E+07   0.346242E+07   0.149263E+02  -0.214356E+02   0.400289E+06   0.345883E+07   0.347337E+07   0.345883E+07  -0.780700E-01   0.169454E+07   0.169435E+07   0.842944E+00
   0.779583E-01   0.324656E+07   0.323254E+07   0.125101E+02  -0.179709E+02   0.348750E+06   0.323050E+07   0.324421E+07   0.323050E+07  -0.729165E-01   0.158271E+07   0.158252E+07   0.818028E+00
   0.820614E-01   0.302568E+07   0.301046E+07   0.105189E+02  -0.151148E+02   0.303922E+06   0.301025E+07   0.302312E+07   0.301025E+07  -0.679451E-01   0.147483E+07   0.147464E+07   0.803012E+00
   0.861644E-01   0.281855E+07   0.280223E+07   0.888510E+01  -0.127705E+02   0.265366E+06   0.280374E+07   0.281581E+07   0.280374E+07  -0.632839E-01   0.137368E+07   0.137348E+07   0.782938E+00
   0.922246E-01   0.254863E+07   0.253152E+07   0.701034E+01  -0.100793E+02   0.218952E+06   0.253475E+07   0.254576E+07   0.253475E+07  -0.572123E-01   0.124191E+07   0.124171E+07   0.727386E+00
   0.982848E-01   0.233354E+07   0.231707E+07   0.565030E+01  -0.812586E+01   0.183744E+06   0.232061E+07   0.233077E+07   0.232061E+07  -0.523791E-01   0.113702E+07   0.113683E+07   0.638559E+00
   0.104345E+00   0.217498E+07   0.216044E+07   0.467223E+01  -0.672035E+01   0.157607E+06   0.216300E+07   0.217254E+07   0.216300E+07  -0.488216E-01   0.105981E+07   0.105964E+07   0.530306E+00
   0.110405E+00   0.205764E+07   0.204570E+07   0.394858E+01  -0.568007E+01   0.137724E+06   0.204656E+07   0.205563E+07   0.204656E+07  -0.461933E-01   0.100277E+07   0.100263E+07   0.423246E+00
   0.116465E+00   0.196019E+07   0.195072E+07   0.338070E+01  -0.486356E+01   0.121587E+06   0.194991E+07   0.195860E+07   0.194991E+07  -0.440118E-01   0.955418E+06   0.955301E+06   0.335311E+00
   0.122525E+00   0.186660E+07   0.185887E+07   0.290888E+01  -0.418518E+01   0.107616E+06   0.185698E+07   0.186530E+07   0.185698E+07  -0.419144E-01   0.909895E+06   0.909794E+06   0.276067E+00
   0.128586E+00   0.176737E+07   0.176040E+07   0.250064E+01  -0.359826E+01   0.949645E+05   0.175829E+07   0.176620E+07   0.175829E+07  -0.396869E-01   0.861548E+06   0.861454E+06   0.245075E+00
   0.134646E+00   0.165953E+07   0.165245E+07   0.214111E+01  -0.308139E+01   0.833100E+05   0.165089E+07   0.165834E+07   0.165089E+07  -0.372626E-01   0.808928E+06   0.808833E+06   0.234216E+00
   0.140706E+00   0.154790E+07   0.154023E+07   0.182834E+01  -0.263170E+01   0.727674E+05   0.153964E+07   0.154661E+07   0.153964E+07  -0.347515E-01   0.754424E+06   0.754326E+06   0.232282E+00
   0.146766E+00   0.144189E+07   0.143361E+07   0.156499E+01  -0.225300E+01   0.636149E+05   0.143398E+07   0.144050E+07   0.143398E+07  -0.323667E-01   0.702658E+06   0.702558E+06   0.229319E+00
   0.152826E+00   0.134943E+07   0.134091E+07   0.135053E+01  -0.194451E+01   0.559910E+05   0.134188E+07   0.134800E+07   0.134188E+07  -0.302879E-01   0.657535E+06   0.657435E+06   0.219341E+00
   0.158886E+00   0.127409E+07   0.126584E+07   0.117962E+01  -0.169857E+01   0.498164E+05   0.126692E+07   0.127270E+07   0.126692E+07  -0.285959E-01   0.620805E+06   0.620710E+06   0.201130E+00
   0.164947E+00   0.121527E+07   0.120775E+07   0.104402E+01  -0.150340E+01   0.448604E+05   0.120848E+07   0.121401E+07   0.120848E+07  -0.272768E-01   0.592171E+06   0.592084E+06   0.177347E+00
   0.171007E+00   0.116892E+07   0.116236E+07   0.934378E+00  -0.134553E+01   0.408081E+05   0.116249E+07   0.116782E+07   0.116249E+07  -0.262388E-01   0.569638E+06   0.569560E+06   0.152542E+00
   0.177067E+00   0.112879E+07   0.112315E+07   0.841678E+00  -0.121205E+01   0.373280E+05   0.112268E+07   0.112784E+07   0.112268E+07  -0.253403E-01   0.550135E+06   0.550065E+06   0.131029E+00
   0.183127E+00   0.108881E+07   0.108385E+07   0.759068E+00  -0.109312E+01   0.341563E+05   0.108299E+07   0.108798E+07   0.108299E+07  -0.244444E-01   0.530686E+06   0.530622E+06   0.115418E+00
   0.189187E+00   0.104539E+07   0.104076E+07   0.682848E+00  -0.983404E+00   0.311520E+05   0.103982E+07   0.104461E+07   0.103982E+07  -0.234699E-01   0.509532E+06   0.509471E+06   0.106109E+00
   0.195247E+00   0.998224E+06   0.993610E+06   0.612143E+00  -0.881639E+00   0.282930E+05   0.992863E+06   0.997449E+06   0.992863E+06  -0.224101E-01   0.486526E+06   0.486466E+06   0.101652E+00
   0.201308E+00   0.949564E+06   0.944790E+06   0.547702E+00  -0.788893E+00   0.256302E+05   0.944394E+06   0.948763E+06   0.944394E+06  -0.213161E-01   0.462777E+06   0.462717E+06   0.996297E-01
   0.207368E+00   0.902612E+06   0.897658E+06   0.490570E+00  -0.706659E+00   0.232286E+05   0.897623E+06   0.901781E+06   0.897623E+06  -0.202604E-01   0.439860E+06   0.439800E+06   0.976452E-01
   0.213428E+00   0.860135E+06   0.855117E+06   0.441267E+00  -0.635680E+00   0.211292E+05   0.855326E+06   0.859293E+06   0.855326E+06  -0.193058E-01   0.419135E+06   0.419075E+06   0.940853E-01
   0.219488E+00   0.823793E+06   0.818890E+06   0.399587E+00  -0.575663E+00   0.193382E+05   0.819167E+06   0.822970E+06   0.819167E+06  -0.184896E-01   0.401417E+06   0.401359E+06   0.884582E-01
   0.225548E+00   0.793740E+06   0.789118E+06   0.364602E+00  -0.525273E+00   0.178248E+05   0.789295E+06   0.792964E+06   0.789295E+06  -0.178154E-01   0.386780E+06   0.386725E+06   0.812687E-01
   0.231608E+00   0.768482E+06   0.764239E+06   0.334785E+00  -0.482320E+00   0.165261E+05   0.764214E+06   0.767770E+06   0.764214E+06  -0.172493E-01   0.374490E+06   0.374439E+06   0.735823E-01
   0.237668E+00   0.745695E+06   0.741832E+06   0.308520E+00  -0.444482E+00   0.153708E+05   0.741593E+06   0.745046E+06   0.741593E+06  -0.167387E-01   0.363406E+06   0.363358E+06   0.665248E-01
   0.243729E+00   0.723409E+06   0.719849E+06   0.284613E+00  -0.410042E+00   0.143054E+05   0.719458E+06   0.722811E+06   0.719458E+06  -0.162391E-01   0.352560E+06   0.352515E+06   0.608904E-01
   0.249789E+00   0.700411E+06   0.697034E+06   0.262356E+00  -0.377986E+00   0.132989E+05   0.696595E+06   0.699844E+06   0.696595E+06  -0.157230E-01   0.341356E+06   0.341314E+06   0.569348E-01
   0.255849E+00   0.676226E+06   0.672919E+06   0.241432E+00  -0.347851E+00   0.123380E+05   0.672532E+06   0.675671E+06   0.672532E+06  -0.151799E-01   0.329565E+06   0.329524E+06   0.543933E-01
   0.261909E+00   0.651338E+06   0.648025E+06   0.221895E+00  -0.319716E+00   0.114283E+05   0.647756E+06   0.650782E+06   0.647756E+06  -0.146206E-01   0.317425E+06   0.317384E+06   0.526863E-01
   0.267969E+00   0.626974E+06   0.623635E+06   0.204029E+00  -0.293986E+00   0.105871E+05   0.623499E+06   0.626414E+06   0.623499E+06  -0.140731E-01   0.305539E+06   0.305498E+06   0.511799E-01
   0.274029E+00   0.604301E+06   0.600965E+06   0.188038E+00  -0.270955E+00   0.982762E+04   0.600930E+06   0.603740E+06   0.600930E+06  -0.135637E-01   0.294480E+06   0.294439E+06   0.493919E-01
   0.280090E+00   0.583929E+06   0.580654E+06   0.173916E+00  -0.250612E+00   0.915240E+04   0.580662E+06   0.583379E+06   0.580662E+06  -0.131062E-01   0.284548E+06   0.284508E+06   0.471065E-01
   0.286150E+00   0.565951E+06   0.562798E+06   0.161497E+00  -0.232719E+00   0.855532E+04   0.562786E+06   0.565422E+06   0.562786E+06  -0.127028E-01   0.275789E+06   0.275751E+06   0.443843E-01
